Experiment,rev,typ,Created,parent,model,model_params.learning_rate,model_params.n_estimators,roc_auc,precision,recall,f1,model.type,model.n_estimators,model.learning_rate,model.random_state,data\processed\test.csv,data\processed\train.csv,data\raw\UCI_Credit_Card.csv,params.yaml,src\data\make_dataset.py,src\models\train.py
,workspace,baseline,,,GradientBoostingClassifier,0.1,150,0.7705572956671517,0.6647230320699709,0.3436322532027129,0.45305514157973176,GradientBoostingClassifier,300,0.07,42,,,,,,
,main,baseline,2025-10-28T17:14:47,,GradientBoostingClassifier,0.1,150,0.7705572956671517,0.6647230320699709,0.3436322532027129,0.45305514157973176,GradientBoostingClassifier,300,0.07,42,,,,,,
